Wavelength,Abs
649.9924316,0.016374089
649.7006836,0.015560425
649.5548096,0.015477125
649.2630615,0.015737701
648.9713135,0.015818233
648.6795044,0.015644921
648.5335693,0.015134301
648.2417603,0.015074103
647.9498901,0.015084368
647.8039551,0.014875853
647.5120239,0.014309416
647.2200928,0.015049073
646.9281616,0.014899428
646.7821655,0.015173865
646.4901733,0.014825174
646.1981812,0.015005099
646.0521851,0.015031064
645.7601318,0.014709746
645.4680176,0.014744988
645.3220215,0.014721609
645.0299072,0.014897633
644.7377319,0.014836022
644.4456177,0.014865567
644.2994995,0.014983019
644.0073242,0.014007212
643.7150879,0.014471623
643.5689697,0.014624655
643.2766724,0.014494534
642.984375,0.014588059
642.6920776,0.014999712
642.5458984,0.014488886
642.2536011,0.015046044
641.9611816,0.014802863
641.8150024,0.014855469
641.522583,0.014788319
641.2301636,0.014728867
640.9376831,0.014811995
640.7914429,0.014035471
640.4989624,0.014182839
640.2064209,0.014224751
640.0601807,0.013845311
639.7676392,0.013665145
639.4750366,0.013777222
639.1824341,0.014241121
639.0361328,0.013902639
638.7434692,0.013650212
638.4508057,0.013549438
638.3044434,0.014101488
638.0117798,0.013896946
637.7189941,0.01392755
637.5726318,0.013934232
637.2799072,0.014108173
636.9870605,0.013893631
636.6942749,0.014048197
636.5478516,0.014161283
636.2550049,0.014378017
635.9620972,0.014484978
635.8156738,0.013909962
635.5227661,0.013237807
635.2297974,0.013612576
634.9368286,0.013820191
634.7903442,0.013999057
634.4973755,0.013506496
634.2043457,0.013402177
634.0578003,0.013314085
633.7647705,0.014038732
633.4716797,0.014198779
633.1785278,0.013974677
633.0319824,0.013887565
632.7388306,0.014134432
632.4456787,0.014099241
632.2990723,0.014400199
632.0058594,0.014038812
631.7126465,0.014358484
631.565979,0.014495122
631.2727661,0.013779012
630.9794312,0.013260278
630.6860962,0.014012853
630.5394287,0.013094814
630.2460938,0.013591476
629.9526978,0.014237563
629.8060303,0.013043915
629.5126343,0.013857177
629.2191772,0.013833151
629.0724487,0.014105097
628.7789917,0.013688574
628.4854736,0.014572826
628.1919556,0.014510538
628.045166,0.01461491
627.7515869,0.014045363
627.4580078,0.014031406
627.3112183,0.014047823
627.0175781,0.014279026
626.723938,0.013928405
626.4302979,0.013946983
626.2834473,0.013531946
625.9897461,0.013803783
625.6959839,0.013487724
625.5491333,0.013890076
625.2553711,0.014023386
624.9615479,0.014046245
624.8146362,0.013653418
624.520813,0.014286355
624.2269897,0.014427547
623.9331055,0.014461213
623.7861938,0.014690547
623.4922485,0.014756128
623.1983032,0.014327502
623.0513306,0.014166445
622.7573853,0.014480563
622.4633789,0.013853863
622.3163452,0.013384157
622.0223389,0.013843386
621.7282715,0.013896812
621.4342041,0.014104027
621.2871704,0.01372846
620.993042,0.013616075
620.6989136,0.014088198
620.5518188,0.014570284
620.2576294,0.014123442
619.9634399,0.014386177
619.8163452,0.013994593
619.5220947,0.014364879
619.2278442,0.014918904
618.9335938,0.014743273
618.786438,0.01394709
618.4921265,0.014104776
618.1977539,0.013990716
618.0505981,0.014122238
617.7562256,0.014224162
617.461792,0.014175537
617.3145752,0.013599835
617.0201416,0.014204102
616.725708,0.014535191
616.4312134,0.014529569
616.2839355,0.014716709
615.9894409,0.014375234
615.6948853,0.014483293
615.5476074,0.014765474
615.2530518,0.015005714
614.9584351,0.014827558
614.8110962,0.014463943
614.5164795,0.01424722
614.2218018,0.013918435
613.927124,0.013662286
613.7797852,0.014227399
613.4850464,0.014171953
613.1903076,0.013991305
613.0429077,0.013917713
612.7481079,0.01426664
612.4533081,0.014291037
612.3059082,0.014654106
612.0111084,0.014397095
611.7161865,0.015038568
611.5687866,0.014923111
611.2738647,0.014770188
610.9789429,0.014691003
610.684021,0.01410606
610.536499,0.014692742
610.2415161,0.014169092
609.9465332,0.013962166
609.7990112,0.013790716
609.5039673,0.013480141
609.2089233,0.014006088
609.0614014,0.014433863
608.7662964,0.014318164
608.4711304,0.014396425
608.3236084,0.013980451
608.0284424,0.014949259
607.7332153,0.015005768
607.4380493,0.014939185
607.2904053,0.015144567
606.9951782,0.014530052
606.6999512,0.014602969
606.5523071,0.015225471
606.256958,0.014341548
605.9616699,0.013807204
605.8139648,0.013795553
605.5186157,0.013767363
605.2232666,0.01408654
604.9278564,0.014417378
604.7801514,0.0145236
604.4846802,0.015034575
604.189209,0.014653142
604.0415039,0.015182176
603.7459717,0.015294109
603.4505005,0.015620152
603.3027344,0.015453949
603.0071411,0.016077081
602.7115479,0.01510983
602.5637817,0.014348638
602.2681885,0.014622888
601.9725342,0.014438118
601.6768799,0.014547932
601.5290527,0.01441687
601.2333374,0.014384598
600.9376221,0.0151881
600.7897339,0.015225096
600.4940186,0.015580414
600.1982422,0.016118558
600.050293,0.016045544
599.7545166,0.016421698
599.4586792,0.016521392
599.31073,0.016379815
599.0148926,0.015724603
598.7189941,0.015102646
598.5710449,0.015290167
598.2750854,0.014677748
597.979187,0.014720082
597.6831665,0.015128592
597.5352173,0.014773563
597.2391968,0.015392955
596.9431763,0.015504916
596.795105,0.015952189
596.4990845,0.016037837
596.2030029,0.01667504
596.0549316,0.017001908
595.7587891,0.016748132
595.4626465,0.016689245
595.3145752,0.016686581
595.0183716,0.015912741
594.722168,0.015682895
594.4259644,0.015077614
594.277832,0.015328083
593.9815674,0.015521791
593.6853027,0.015642747
593.5371704,0.01574876
593.2408447,0.016219096
592.944519,0.01690143
592.7963257,0.017187584
592.499939,0.017233558
592.2035522,0.01723329
592.0553589,0.017491957
591.7589111,0.017054539
591.4624634,0.017223889
591.314209,0.016681524
591.0177612,0.015903719
590.7211914,0.015509048
590.572937,0.015419079
590.2764282,0.015394645
589.9798584,0.016280394
589.6832275,0.016591338
589.5349731,0.017057555
589.2383423,0.01715718
588.9416504,0.017956983
588.793335,0.017723599
588.4966431,0.017832037
588.1999512,0.017360032
588.0515747,0.017550712
587.7548828,0.016994048
587.4580688,0.016807189
587.3096924,0.016179813
587.0129395,0.016024889
586.7160645,0.015966797
586.567688,0.016091533
586.270813,0.016871907
585.973938,0.016933566
585.677063,0.017480019
585.5285645,0.017674932
585.2316895,0.01786362
584.9346924,0.018786913
584.7861938,0.019032527
584.4892578,0.017607858
584.1921997,0.017421031
584.0437012,0.017982775
583.7466431,0.016703097
583.449585,0.015671436
583.3010864,0.016196579
583.0039673,0.016495069
582.7068481,0.01652029
582.5582886,0.016910823
582.2611084,0.017703457
581.9639282,0.017914819
581.8153076,0.018104367
581.5181274,0.019022737
581.2208862,0.018856928
581.0722656,0.018578425
580.7749634,0.018024625
580.4777222,0.017501794
580.1804199,0.016737962
580.0317383,0.016675148
579.734375,0.01676476
579.4370117,0.016951464
579.2883301,0.017151419
578.9909058,0.018099589
578.6934814,0.018898211
578.5447388,0.018519612
578.2473145,0.019358629
577.9498291,0.019323742
577.8010864,0.019460436
577.50354,0.018708613
577.2060547,0.01799516
577.057251,0.018223561
576.7597046,0.017590309
576.4620972,0.017964754
576.3132935,0.017508101
576.015686,0.018221995
575.7180176,0.01829586
575.5691528,0.019063359
575.2714844,0.019870911
574.9738159,0.020836098
574.6760864,0.020789959
574.5272217,0.020317849
574.2294312,0.019947361
573.9316406,0.019003589
573.7827759,0.019020382
573.4849243,0.018725477
573.1871338,0.018409248
573.038208,0.018477742
572.7402954,0.019201431
572.4424438,0.019970128
572.293457,0.019881696
571.9955444,0.020220777
571.6975708,0.021121787
571.548645,0.021489525
571.2506104,0.021213217
570.9526367,0.021017497
570.8036499,0.020763321
570.5056152,0.019581249
570.2075195,0.019641588
570.0584717,0.019484531
569.760437,0.019273516
569.4622803,0.019733112
569.3132324,0.020519957
569.0150757,0.020878196
568.7169189,0.021991313
568.5678101,0.021551708
568.2696533,0.021832369
567.9714355,0.02157796
567.8222656,0.021039968
567.5240479,0.020749662
567.225769,0.019988233
566.9274292,0.019487645
566.7783203,0.019859448
566.4799805,0.020123672
566.1816406,0.020864479
566.0324097,0.021004023
565.7340698,0.022331936
565.4356689,0.022099076
565.286438,0.022347497
564.9879761,0.02231654
564.6895142,0.022140371
564.5402832,0.021414055
564.2418213,0.021082003
563.9432983,0.020851551
563.7940063,0.021364048
563.4954834,0.021092519
563.1968994,0.022055009
563.0476074,0.02186822
562.7490234,0.022448644
562.4503784,0.023341155
562.3010254,0.023107808
562.0023804,0.022556877
561.7037354,0.022473287
561.5543823,0.022399144
561.2556763,0.021924086
560.9569092,0.021876795
560.8075562,0.021383516
560.5087891,0.022002423
560.2099609,0.021848947
560.0606079,0.022218391
559.7617798,0.022942916
559.4629517,0.023143655
559.3134766,0.023137704
559.0146484,0.023402017
558.7157593,0.023637298
558.5662842,0.022803841
558.267334,0.023007326
557.9683838,0.022969579
557.8189087,0.022163007
557.5199585,0.02231624
557.2209473,0.022815926
557.0714111,0.023314441
556.7723999,0.023513274
556.4733276,0.023463052
556.3237915,0.023828376
556.0247192,0.023901315
555.7255859,0.023585366
555.4264526,0.023560142
555.2769165,0.022934183
554.9777222,0.022859771
554.6785278,0.023027496
554.5289307,0.023028644
554.2297363,0.023165716
553.930481,0.024132706
553.7808838,0.024172662
553.4815674,0.024860928
553.182312,0.024577372
553.0326538,0.024475152
552.7333374,0.024294082
552.43396,0.023807459
552.2843018,0.023633417
551.9849243,0.023532186
551.6854858,0.023754768
551.5358276,0.023845332
551.2363892,0.024905831
550.9368896,0.025508173
550.7871704,0.025502985
550.4876709,0.025801294
550.1881714,0.025289163
550.0384521,0.024713207
549.7388916,0.024160648
549.4393311,0.023853974
549.2895508,0.024500294
548.9899902,0.02506634
548.6903687,0.026662273
548.5405273,0.025979862
548.2409058,0.026585871
547.9412231,0.026392365
547.7913818,0.025715979
547.4916992,0.025276322
547.1919556,0.025136029
547.0421143,0.024555156
546.7423706,0.024511606
546.4425659,0.025649602
546.2927246,0.026172139
545.9929199,0.026969919
545.6930542,0.027440248
545.5431519,0.027344272
545.2432861,0.026079329
544.9434204,0.025247267
544.793457,0.024883023
544.4935913,0.024858104
544.1936646,0.025812969
544.0437012,0.026295632
